trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RL,5/14/2022,fishing,1440.2,33,FALSE,2809,-0.2997319,0.002898971,0.002898971,NA,11383,0,0.002898971,134,19,5,2022
Lower Feather River RST RL,5/15/2022,fishing,1424.616667,26,FALSE,2786,-0.319231214,0.002898971,0.002898971,NA,8969,0,0.002898971,135,19,5,2022
Lower Feather River RST RL,5/16/2022,fishing,1410.2,13,FALSE,2832,-0.280232587,0.002898971,0.002898971,NA,4484,0,0.002898971,136,20,5,2022
Lower Feather River RST RL,5/17/2022,fishing,1455.483333,21,FALSE,2740,-0.358229842,0.002898971,0.002898971,NA,7244,0,0.002898971,137,20,5,2022
Lower Feather River RST RL,5/18/2022,fishing,1424.483333,6,FALSE,2786,-0.319231214,0.002898971,0.002898971,NA,2070,0,0.002898971,138,20,5,2022
Lower Feather River RST RL,5/19/2022,fishing,1484.783333,6,FALSE,2797,-0.309905455,0.002898971,0.002898971,NA,2070,0,0.002898971,139,20,5,2022
Lower Feather River RST RL,5/20/2022,fishing,1440.066667,6,FALSE,2786,-0.319231214,0.002898971,0.002898971,0,2070,0,0.002898971,140,20,5,2022
Lower Feather River RST RL,5/21/2022,fishing,1345.716667,7,FALSE,2797,-0.309905455,0.002898971,0.002898971,NA,2415,0,0.002898971,141,20,5,2022
Lower Feather River RST RL,5/22/2022,fishing,1439.2,1,FALSE,2832,-0.280232587,0.002898971,0.002898971,NA,345,0,0.002898971,142,20,5,2022
Lower Feather River RST RL,5/23/2022,fishing,1410.85,1,FALSE,3175,0.01056153,0.002898971,0.002898971,NA,345,0,0.002898971,143,21,5,2022
Lower Feather River RST RL,5/24/2022,fishing,1469.266667,1,FALSE,3175,0.01056153,0.002898971,0.002898971,NA,345,0,0.002898971,144,21,5,2022
Lower Feather River RST RL,5/25/2022,fishing,1455.15,4,FALSE,3199,0.03090864,0.002898971,0.002898971,NA,1380,0,0.002898971,145,21,5,2022
Lower Feather River RST RL,5/26/2022,Not fishing,1440,3.447091605,TRUE,NA,NA,0.002898971,0.002898971,NA,1189,1,0.002898971,146,21,5,2022
Lower Feather River RST RL,5/27/2022,Not fishing,1424.9,3.297782473,TRUE,3223,0.05125575,0.002898971,0.002898971,NA,1138,1,0.002898971,147,21,5,2022
Lower Feather River RST RL,5/28/2022,fishing,1394.983333,1,FALSE,3151,-0.009785581,0.002898971,0.002898971,NA,345,0,0.002898971,148,21,5,2022
Lower Feather River RST RL,5/29/2022,fishing,1515.416667,1,FALSE,3079,-0.070826911,0.002898971,0.002898971,NA,345,0,0.002898971,149,21,5,2022
Lower Feather River RST RL,5/30/2022,fishing,1379.983333,3,FALSE,3224.5,0.052527444,0.002898971,0.002898971,0,1035,0,0.002898971,150,22,5,2022
Lower Feather River RST RL,5/31/2022,fishing,1359.833333,1,FALSE,3370,0.1758818,0.002898971,0.002898971,NA,345,0,0.002898971,151,22,5,2022
Lower Feather River RST RL,6/1/2022,fishing,1425.3,4,FALSE,3395,0.197076706,0.002898971,0.002898971,NA,1380,0,0.002898971,152,22,6,2022
Lower Feather River RST RL,6/2/2022,fishing,1395.3,0,FALSE,3370,0.1758818,0.002898971,0.002898971,NA,0,0,0.002898971,153,22,6,2022
Lower Feather River RST RL,6/3/2022,fishing,1484.633333,1,FALSE,3370,0.1758818,0.002898971,0.002898971,NA,345,0,0.002898971,154,22,6,2022
Lower Feather River RST RL,6/4/2022,fishing,1470.683333,0,FALSE,2763,-0.338730528,0.002898971,0.002898971,NA,0,0,0.002898971,155,22,6,2022
Lower Feather River RST RL,6/5/2022,fishing,1409.166667,2,FALSE,3324.5,0.13730707,0.002898971,0.002898971,0,690,0,0.002898971,156,22,6,2022
Lower Feather River RST RL,6/6/2022,fishing,1315.6,0,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,0,0,0.002898971,157,23,6,2022
Lower Feather River RST RL,6/7/2022,fishing,1425.116667,0,FALSE,3850,0.582824003,0.002898971,0.002898971,NA,0,0,0.002898971,158,23,6,2022
